title,image,tuition,location,rating
Bais Binyomin Academy,https://www.appily.com/themes/custom/fingerprint/images/cappex_stockhero_background.jpg?updated=091019,10050.0,Monsey NY 10952,0
Vaughn College of Aeronautics and Technology,https://www.vaughn.edu/wp-content/uploads/2020/09/Vaughn-College-FBOG.jpg,26150.0,Flushing NY 11369,0
Adelphi University,https://www.adelphi.edu/about/wp-content/uploads/sites/28/2020/06/April2020Campus-95475.jpg,42475.0,Garden City NY 11530-0701,0
SUNY Adirondack,https://www.sunyacc.edu/sites/default/files/NSTEM.CON_188_1.jpg,5784.0,Queensbury NY 12804,0
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/~/media/images/locations/tablet-locations-albany-campus768.ashx,18356.0,Albany NY 12205,0
Albany College of Pharmacy and Health Sciences,https://www.acphs.edu/sites/default/files/ACPHS%20Campus%20Map_11-10-22.jpg,37115.0,Albany NY 12208-3492,0
Alfred University,https://www.alfred.edu/_images/brandpillar11.jpg,33864.0,Alfred NY 14802-1205,0
The Ailey School,https://www.dancemagazine.com/wp-content/uploads/2023/10/Students-from-The-Ailey-School.-Photo-by-Nir-Arieli_-scaled.jpg,13789.0,New York NY 10019-4402,0
American Academy of Dramatic Arts-New York,https://upload.wikimedia.org/wikipedia/commons/c/c4/AADA_at_the_Colony_Club.jpg,37230.0,New York NY 10016,0
American Academy McAllister Institute of Funeral Service,https://sonis.funeraleducation.org/Images/Index_Images/index_photo.jpg,18292.0,New York NY 10036,0
Joffrey Ballet School,https://www.joffreyballetschool.com/wp-content/uploads/2020/11/studio3-pano-11in.jpg,21500.0,New York NY 10011,0
American Musical and Dramatic Academy,https://upload.wikimedia.org/wikipedia/commons/9/9d/American_Musical_and_Dramatic_Academy.jpg,42960.0,New York NY 10023,0
Associated Beth Rivkah Schools,https://www.appily.com/themes/custom/fingerprint/images/cappex_stockhero_background.jpg?updated=091019,8000.0,Brooklyn NY 11225-0000,0
Bard College,https://greatruns.com/wp-content/uploads/2019/08/Bard-College-Campus.jpg,57968.0,Annandale-On-Hudson NY 12504-5000,0
Barnard College,https://static01.nyt.com/images/2024/02/29/multimedia/29barnard-01-gcbf/29barnard-01-gcbf-videoSixteenByNine3000.jpg,59687.0,New York NY 10027-6598,0
Berkeley College-New York,https://berkeleycollege.edu/images/veterans-day-parade-bts.jpg,27600.0,New York NY 10017,0
Beth Hamedrash Shaarei Yosher Institute,https://dzhhw2kso6jlo.cloudfront.net/chart-images/v1/beth-hamedrash-shaarei-yosher-institute/student-life/chart-living-arrangement_xl.png,11000.0,Brooklyn NY 11204,0
Boricua College,https://images.squarespace-cdn.com/content/v1/613a46ad12d3b04cb596e709/c889a987-15ec-4452-ae5b-a5b0fe65ceb7/BORICUA_BLUE_LOGO.png,11025.0,New York NY 10032-1560,0
SUNY Broome Community College,https://www2.sunybroome.edu/dos/wp-content/uploads/sites/6/2015/08/2013.11.27-SUNY-BROOME-B-300x225-300x225.jpg,6332.0,Binghamton NY 13901-1001,0
Bryant & Stratton College-Syracuse North,https://www.bryantstratton.edu/~/media/news/103011.ashx?la=en&hash=3B7C64F453C5B0D5F46667005540C3CA8D4F7E1D,18170.0,Liverpool NY 13090,0
Bryant & Stratton College-Buffalo,https://www.bryantstratton.edu/~/media/images/locations/our-locations-western-ny-768.ashx,17578.0,Buffalo NY 14203,0
Bryant & Stratton College-Greece,https://www.bryantstratton.edu/~/media/images/locations/southtowns1.ashx,18465.0,Rochester NY 14612,0
Canisius College,https://www.canisius.edu/sites/default/files/legacy/basic-page/header-image/oes_web_main_page_quad_arial_0.png,30910.0,Buffalo NY 14208-1098,0
