title,image
University of Arkansas,https://www.uark.edu/_resources/images/visit-our-campus/RS24342_8836_Campus_Aerial-2013-179-visit.jpg
University of Nevada Las Vegas,https://www.unlv.edu/sites/default/files/styles/1200_width/public/media/image/2022-07/our_campus-D73709_298-2000x1333.jpg?itok=UI1skipl
University of Cincinnati,https://www.uc.edu/about/jcr:content/image.img.cq5dam.thumbnail.500.500.jpg/1698174765547.jpg
Kansas State University,https://www.k-state.edu/admissions/images/visit/masthead-visit-k-state.jpg
University of South Carolina,https://www.sc.edu/imgs/background/background-campus-tours-31.jpg
University of Alabama at Birmingham,https://i.ytimg.com/vi/uy5oKsp1YpY/maxresdefault.jpg
University of Hawaii at Manoa,https://upload.wikimedia.org/wikipedia/commons/1/13/Hawai%27i_Hall.jpg
George Washington University,https://www.gwu.edu/sites/g/files/zaxdzs5066/files/image/FoggyBottom_CampusLife_fallstock15_up-2015-ZWM_9934%20%281%29.jpg
University of Louisville,https://louisville.edu/admissions/images/virtual-experience/virtual-tour
Baylor University,https://apply-baylor-edu.cdn.technolutions.net/www/images/2024%20Images/VISIT-CONFIRMATION-PAGE-1000x333.jpg
Oregon State University,https://i0.wp.com/ecampus.oregonstate.edu/news/assets/sign-entrance-reser-stadium.jpg?fit=1440%2C960&ssl=1
Temple University,https://news.temple.edu/sites/news/files/styles/article_hero/public/20201010_campusaerialsrsb_001-web_res_jpeg_150_dpi_1.jpg?itok=KvvVgz-A&c=4eac051a9e4051adf94ea228fbaa8c6d
University of Mississippi,https://ruf.org/wp-content/uploads/2020/06/UCIMG-324-2048x1150-1.jpg
