title,image
Bais Binyomin Academy,https://www.appily.com/themes/custom/fingerprint/images/cappex_stockhero_background.jpg?updated=091019
Vaughn College of Aeronautics and Technology,https://www.vaughn.edu/wp-content/uploads/2020/09/Vaughn-College-FBOG.jpg
Adelphi University,https://www.adelphi.edu/about/wp-content/uploads/sites/28/2020/06/April2020Campus-95475.jpg
SUNY Adirondack,https://www.sunyacc.edu/sites/default/files/NSTEM.CON_188_1.jpg
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/~/media/images/locations/tablet-locations-albany-campus768.ashx
Albany College of Pharmacy and Health Sciences,https://www.acphs.edu/sites/default/files/ACPHS%20Campus%20Map_11-10-22.jpg
Alfred University,https://www.alfred.edu/_images/brandpillar11.jpg
The Ailey School,https://www.dancemagazine.com/wp-content/uploads/2023/10/Students-from-The-Ailey-School.-Photo-by-Nir-Arieli_-scaled.jpg
American Academy of Dramatic Arts-New York,https://upload.wikimedia.org/wikipedia/commons/c/c4/AADA_at_the_Colony_Club.jpg
American Academy McAllister Institute of Funeral Service,https://sonis.funeraleducation.org/Images/Index_Images/index_photo.jpg
Joffrey Ballet School,https://www.joffreyballetschool.com/wp-content/uploads/2020/11/studio3-pano-11in.jpg
American Musical and Dramatic Academy,https://upload.wikimedia.org/wikipedia/commons/9/9d/American_Musical_and_Dramatic_Academy.jpg
Associated Beth Rivkah Schools,https://www.appily.com/themes/custom/fingerprint/images/cappex_stockhero_background.jpg?updated=091019
Bard College,https://greatruns.com/wp-content/uploads/2019/08/Bard-College-Campus.jpg
Barnard College,https://static01.nyt.com/images/2024/02/29/multimedia/29barnard-01-gcbf/29barnard-01-gcbf-videoSixteenByNine3000.jpg
Berkeley College-New York,https://berkeleycollege.edu/images/veterans-day-parade-bts.jpg
Beth Hamedrash Shaarei Yosher Institute,https://dzhhw2kso6jlo.cloudfront.net/chart-images/v1/beth-hamedrash-shaarei-yosher-institute/student-life/chart-living-arrangement_xl.png
Boricua College,https://images.squarespace-cdn.com/content/v1/613a46ad12d3b04cb596e709/c889a987-15ec-4452-ae5b-a5b0fe65ceb7/BORICUA_BLUE_LOGO.png
SUNY Broome Community College,https://www2.sunybroome.edu/dos/wp-content/uploads/sites/6/2015/08/2013.11.27-SUNY-BROOME-B-300x225-300x225.jpg
